Model,Price,Fuel Type,Fiscal Power,Horsepower,Transmission
Huanghai N3 (non disponible),0 DT,Diesel,8,129,Manuelle
Toyota Agya populaire,26 787 DT,Essence,4,65,Manuelle
Suzuki Celerio Populaire 1.0 L GL,28 391 DT,Essence,4,68,Manuelle
DFSK K01S STD Simple Cabine (2 finitions),29 900 DT,Essence,6,,Manuelle
Kia Picanto Populaire,30 935 DT,Essence,4,69,Manuelle
Mitsubishi Attrage 1193 cm3 [populaire],33 269 DT,Essence,4,78,Manuelle
Mitsubishi Mirage 1193 cm3 [populaire],33 900 DT,Essence,4,78,Automatique
Chery Tiggo 1x 1.0L Turbo Populaire,34 068 DT,Essence,4,70,Manuelle
Hyundai Grand i10 Populaire 1.0 L,34 426 DT,Essence,4,65,Manuelle
Citroën C3 Populaire 1.2 L,34 626 DT,Essence,4,75,Manuelle
TATA SUPER ACE SIMPLE CABINE,39 900 DT,Diesel,5,71,Manuelle
Changan New Star 1.2 L,41 500 DT,Essence,6,92,
Mahindra KUV 100 1.2 L,43 960 DT,Essence,5,82,Manuelle
Wallyscar 719 1.6 L,47 140 DT,Essence,7,115,Manuelle
Lada Urban 4X4 BVM (indisponible actuellement en Tunisie),47 300 DT,Essence,7,83,Manuelle
Kia Picanto 1.2 L LX (2 finitions),47 980 DT,Essence,5,84,Manuelle
WALLYS Iris (Sur commande),48 200 DT,Essence,7,115,Manuelle
Toyota Agya 5 CV,48 900 DT,Essence,5,87,Manuelle
Tata Xenon X2 Turbo 2.2L,49 900 DT,Diesel,7,150,Manuelle
Kia Picanto 1.2 L Smart,49 980 DT,Essence,5,84,Manuelle
Hyundai Grand i10 (3 finitions),51 950 DT,Essence,5,83,
Changan New Star Truck Double Cabine 1.2 L,53 000 DT,Essence,6,92,Manuelle
KING LONG Kingwin Commercial,54 680 DT,Diesel,9,,Manuelle
Dacia Sandero 1.0L SCE,54 990 DT,Essence,5,73,Manuelle
Suzuki Dzire 1.2 (2 finitions),55 400 DT,Essence,5,85,Manuelle
Hyundai Grand i10 Sedan,56 950 DT,Essence,5,83,Manuelle
MG 3 thermique 1.5 L (3 finitions),56 950 DT,Essence,6,110,
Kia Picanto 1.2 L GT-LINE,57 480 DT,Essence,4,84,Automatique
Mahindra XUV 300 1.2 L (3 finitions),58 065 DT,Essence,6,110,Manuelle
Toyota Yaris 1.0 L,58 900 DT,Essence,4,72,Manuelle
Skoda Fabia (2 finitions),59 980 DT,Essence,4,75,Manuelle
Dacia Logan berline 1.0 TCE,59 990 DT,Essence,5,100,Manuelle
Mahindra Pik-Up S6 2WD,60 916 DT,Diesel,7,140,Manuelle
KING LONG Kingo S (Transport en Commun),62 900 DT,Diesel,8,,Manuelle
Suzuki Ciaz GL 1.5 L (4 versions),62 900 DT,Essence,6,105,Manuelle
Chery Arrizo 5 (2 finitions),63 490 DT,Essence,7,115,Manuelle
MG 5 (3 versions boîte manuelle et boîte automatique),63 950 DT,Essence,6,120,
Renault Clio 1.0 L TCE,64 950 DT,Essence,6,100,Manuelle
Volkswagen Virtus 1.0 L TSI (3 finitions),65 980 DT,Essence,6,116,
Fiat 500 (2 finitions),66 500 DT,Essence,4,69,Automatique
Suzuki Baleno GL 1.5 L (2 finitions),66 900 DT,Essence,6,105,Automatique
Hyundai i20 nouvelle génération (plusieurs finitions),66 950 DT,Essence,5,84,Manuelle
Chery Tiggo 3x Luxury BVA 1.0 L,66 990 DT,Essence,6,102,Automatique
Peugeot 208 1.2 L,66 990 DT,Essence,5,75,Manuelle
GAC GA4 1.5 L,67 000 DT,Essence,6,107,Automatique
Peugeot Partner 1.6 L HDI 650 KG (2 finitions),67 490 DT,Diesel,5,92,Manuelle
Fiat Doblo 1.6L HDI 3 Places,67 500 DT,Diesel,5,92,Manuelle
Geely GX3 Pro 1.5 L (En précommande),68 800 DT,Essence,6,103,Automatique
Dacia Sandero Stepway moteur 1.0,68 900 DT,Essence,6,100,Automatique
Mahindra Pik-Up S6 Double Cabine (2 finitions),69 046 DT,Diesel,7,140,Manuelle
ZX AUTO GRANDTIGER,72 500 DT,Diesel,9,137,Manuelle
Peugeot Landtrek 4×2 Simple Cabine 1.9 L,72 500 DT,Diesel,6,150,Manuelle
Opel Corsa 1.2 L (2 finitions),72 900 DT,Essence,6,100,Manuelle
Volkswagen T-Cross 1.0 L (3 finitions),75 980 DT,Essence,6,116,Manuelle
Seat Ibiza 1.0 TSI (4 finitions),75 980 DT,Essence,6,115,Automatique
Suzuki Fronx GL 1.5L,76 900 DT,Essence,6,105,Manuelle
MG 3 Hybride 1.5L,76 950 DT,Hybride,5,195,Automatique
Fiat Tipo Berline 1.3 L (2 finitions),78 500 DT,Diesel,5,95,Manuelle
Isuzu D-Max 2.5 Turbo diesel 2 portes 4X2,78 530 DT,Diesel,8,,Manuelle
Suzuki Ertiga GLX 7 places (2 finitions),78 900 DT,Essence,6,105,Manuelle
Honda City LX (3 finitions),78 990 DT,Essence,6,120,Automatique
Skoda Scala 1.6 MPI (3 finitions),79 980 DT,Essence,6,110,Automatique
MG ZS (2 versions),80 950 DT,Essence,7,115,Manuelle
MG GT 1.5 L (3 versions boîte manuelle et boîte automatique),80 950 DT,Essence,7,115,Manuelle
Skoda Kamiq 1.0 TSI (4 finitions),81 980 DT,Essence,6,110,Automatique
Opel Crossland (2 finitions),82 900 DT,Essence,6,110,Automatique
Great Wall Wingle 5 Double Cabine 4×2 BVM,82 975 DT,Diesel,7,143,
Volkswagen Polo 1.0 L (2 finitions),82 980 DT,Essence,5,95,Manuelle
Soueast DX3,82 990 DT,Essence,6,105,Manuelle
Chevrolet Groove Premier 1.5L,83 760 DT,Essence,6,106,Automatique
DFSK Glory (2 versions),83 900 DT,Essence,7,115,Automatique
GAC GS3 1.3 L,84 900 DT,Essence,7,127,Automatique
Honda Jazz 1.5 L Hybride,85 990 DT,Hybride,5,97,Automatique
Geely Coolray 1.5 L turbo (2 finitions),86 800 DT,Essence,10,177,Automatique
Kia Sonet 1.5 L (3 finitions),87 480 DT,Essence,6,115,Manuelle
Seat Arona 1.0 TSI (3 finitions),87 980 DT,Essence,6,115,Automatique
Dacia Duster DCI 1.5 L (2 versions),88 700 DT,Diesel,5,86,Manuelle
GAC GS4 1.5 L,89 900 DT,Essence,8,137,Automatique
Citroën C4 X 1.2L (2 finitions),89 900 DT,Essence,7,130,Automatique
Model,Price,Fuel Type,Fiscal Power,Horsepower,Transmission
Hyundai Venue 1.0 L Turbo BVA,90 000 DT,Essence,7,120,Automatique
Isuzu D-Max 2.5 Turbo diesel 4 portes 4X2,91 158 DT,Diesel,8,79,Manuelle
Nissan Juke Tekna (3 finitions),91 900 DT,Essence,6,117,Manuelle
Dongfeng Rich6 (versions 4×2 et 4×4),93 900 DT,Diesel,8,140,Manuelle
KING LONG Kingwin Ambulance Type B,94 600 DT,Diesel,9,,Manuelle
Toyota C-HR 1.2 L BVM,94 900 DT,Essence,6,116,Manuelle
BYD Dolphin EV,94 990 DT,Électrique,5,95,Automatique
ZX AUTO TERRALORD 4×4,95 000 DT,Diesel,9,137,Manuelle
Soueast DX3 (boite auto),96 990 DT,Essence,8,145,Automatique
Peugeot 2008 Active 1.2 L (2 finitions),97 900 DT,Essence,7,130,Automatique
Skoda Octavia 1.4 TSI (5 finitions),97 980 DT,Diesel,7,143,Manuelle
Foday F22 S BVM 4×4,98 800 DT,Diesel,6,138,Manuelle
Chery Tiggo 7 Pro 1.5L Turbo (sur arrivage),99 580 DT,Essence,9,147,Automatique
Suzuki Jimny 1.5 L GL 4X4 (en boîte auto ou manuelle),99 900 DT,Essence,6,102,Manuelle
MG 4 Luxury +,99 950 DT,Électrique,5,205,Automatique
Seat Leon 1.4 TSI (2 finitions),99 980 DT,Essence,8,150,Automatique
Peugeot Rifter Active Pack HDI 1.6 L,100 900 DT,Diesel,5,90,Manuelle
Renault Mégane 4 Sedan (2 finitions),101 650 DT,Diesel,6,110,Manuelle
Haval Jolion 1.5L,101 980 DT,Essence,9,143,Automatique
SsangYong Tivoli restylé,102 575 DT,Essence,8,163,Automatique
Peugeot Landtrek 4×4 Double Cabine 1.9 L,102 990 DT,Diesel,6,150,Manuelle
MG One Luxury plus 1.5L,103 950 DT,Essence,10,180,Automatique
Opel Mokka 1.2 L (2 finitions),104 900 DT,Essence,7,130,Automatique
Peugeot 308 Allure,105 900 DT,Essence,7,130,Automatique
Opel Astra (2 finitions),105 900 DT,Essence,7,130,Automatique
Chevrolet Captiva 1.5L Turbo CVT,105 913 DT,Essence,9,147,Automatique
BYD King Plus DM-I Hybride Rechargeable,105 990 DT,Hybride,5,,Automatique
DS 3 CROSSBACK CHIC+ 1.2 L,106 900 DT,Essence,7,130,Automatique
Toyota Corolla Sedan Active 1.8 L,109 800 DT,Essence,7,122,Manuelle
Mitsubishi Eclipse Cross 1.5 CVT,110 000 DT,Essence,8,150,Automatique
Geely Geometry C 70 kWh,111 900 DT,Électrique,4,204,Automatique
Great Wall Poer 2.0 (2 finitions),111 990 DT,Diesel,11,163,Manuelle
Fiat 500X Cross (2 finitions),112 000 DT,Essence,7,140,Automatique
Bestune T77 (2 finitions),113 777 DT,Essence,9,160,Automatique
Foday Lion F22 D 1.9 L BVM,113 800 DT,Diesel,6,138,Manuelle
MG RX5 Performance,113 950 DT,,10,180,Automatique
ISUZU D-MAX 2.5 Turbo diesel intercooler 4 portes 4X4,115 738 DT,Diesel,8,109,Manuelle
MG eZS,116 950 DT,Électrique,,210,Automatique
Kia Seltos 1.4 T-GDI,116 980 DT,Essence,8,140,Automatique
Toyota Corolla Sedan Hybride 1.8 L,118 000 DT,Hybride / Essence,5,121,Automatique
Kia XCeed (3 finitions),118 480 DT,Essence,9,160,Boite Auto 7 rapports DCT
Dongfeng Forthing T5 Evo 1.5L Turbo,118 900 DT,Électrique,9,176,Automatique
DFSK Glory IX5 1.5 L CVT,118 900 DT,,9,140,Automatique
Hyundai Creta 1.5L BVA,118 950 DT,Essence,6,113,Automatique
Toyota Yaris Cross Hybride 1.5 L,119 800 DT,,5,116,Automatique
Wallyscar Wolf 1.5 L,119 900 DT,Essence,9,150,Automatique
Volkswagen Golf 8 TSI (3 finitions),120 980 DT,Essence,8,150,Automatique
Geely Azkarra hybride 4 WD,122 800 DT,Essence - Hybride léger 48v,9,162,Boite Auto 7 rapports DCT
Changan Hunter 1.9 L DOHC Turbo,122 980 DT,Diesel,6,150,Manuelle
Skoda Superb 1.4 TSI DSG (2 finitions),122 980 DT,Essence,8,150,Automatique
Hyundai Kona Electric,123 950 DT,Électrique,11,136,Automatique
BYD Atto 3 EV,123 990 DT,Électrique,5,204,Automatique
Foday Lion F22 Max 1.9 L BVM,124 800 DT,Diesel,6,138,Manuelle
Volvo EX30 (3 versions),124 900 DT,Électrique,5,272,Automatique
SsangYong Korando,124 980 DT,Essence,9,163,Automatique
Seat Ateca 1.4 L TSI (3 finitions),124 980 DT,Essence,8,150,Automatique
Soueast DX7 Nova Xg58,124 990 DT,Essence,,197,Automatique
Jeep Renegade Limited BVA,126 500 DT,Essence,8,140,Automatique
Nissan Qashqai (3 finitions),127 900 DT,Essence,8,150,Automatique
Honda HR-V EX 1.5L,127 990 DT,Essence,7,119,Automatique
Geely Starray 1.5 L Turbo,129 800 DT,Essence,9,174,Automatique
Haval H6 1.5 L Turbo (non disponible actuellement),129 875 DT,Essence,8,150,Automatique
Suzuki Jimny 1.5L GL 4X4 BVA 5 portes,129 900 DT,Essence,6,102,Automatique
Cupra Leon 1.4 TSI (2 finitions),129 980 DT,Essence,8,150,Automatique
Hyundai Kona (3 versions),130 000 DT,Essence,6,120,Manuelle
Suzuki Grand Vitara 1.5 L GLX,132 900 DT,Essence - Hybride léger 48v,6,105,Automatique
Mitsubishi L200 4X4 double cabine,136 900 DT,Diesel,8,136,Automatique
Skoda Karoq 1.4 L TSI DSG (2 finitions),138 980 DT,Diesel,8,143,Automatique
Toyota Land Cruiser 79 Pickup simple cabine,139 800 DT,Diesel,11,130,Manuelle
Renault Austral 1.3L,139 900 DT,Essence,8,150,Automatique
Kia Niro Hybride 1.6 L (2 finitions),139 980 DT,Hybride / Essence,5,141,Automatique
Kia Sportage 1.6 L T-GDI (2 finitions),139 980 DT,Essence,10,180,Automatique
Audi A3 Sportback moteur 35 TFSI (2 finitions),139 990 DT,Essence,8,150,Automatique
Huanghai N7 4×4 (non disponible),140 000 DT,Diesel,8,130,Automatique
Audi Q2 35 TFSI S-tronic (2 finitions),140 000 DT,Essence,8,150,Automatique
Audi A3 berline 4 portes (2 finitions),140 990 DT,Essence,8,150,Automatique
Toyota Corolla Cross Hybride 1.8 L,144 900 DT,Hybride / Essence,5,122,
Haval H6 HEV (Hybride),144 900 DT,Hybride,8,240,Automatique
Toyota RAV 4 2.0 L Active BVA,148 000 DT,Essence,9,173,Automatique
SsangYong Musso 2.2 L,148 176 DT,Diesel,7,181,Automatique
Peugeot 408 (2 finitions),148 900 DT,Essence,13,215,Automatique
Peugeot 3008-1.6 L (2 finitions),149 900 DT,Essence,9,165,Automatique
MG eHS,149 950 DT,Électrique,9,258,Automatique
MG Marvel R,149 950 DT,Électrique,5,180,Automatique
Honda ZRV 1.5L CVT,149 990 DT,Essence,11,182,Automatique
BMW Série 1 [116i] 2 finitions,151 000 DT,Essence,6,109,Automatique
"Skoda Kodiaq FL 1,4 TSI DSG (2 finitions)",153 980 DT,Essence,9,150,Automatique
Volkswagen Tiguan TSI (3 finitions),154 980 DT,Essence,,,Automatique
Nissan Qashqai e-Power 1.5 L,155 900 DT,Hybride / Essence,,158,Automatique
BYD Song Plus DM-i 1.5L Hybride Rechargeable,156 990 DT,Hybride / Essence,,,Automatique
Bus Isuzu 4.6L Eco Classic,158 432 DT,Diesel,12,120,Manuelle
Toyota Hilux Business BVM,158 800 DT,Diesel,8,150,Manuelle
Hyundai Staria [9 ou 11 places],159 600 DT,Diesel,8,177,Manuelle
Toyota RAV4 2.5 L Hybride BVA,159 800 DT,Hybride / Essence,9,218,Automatique
Honda Civic (2 versions),159 990 DT,Essence,10,178,Automatique
DS 7 CROSSBACK PERFORMANCE-LINE,161 300 DT,Essence,10,165,Automatique
BMW Série 2 Gran Coupé [218i] 2 finitions,168 000 DT,Essence,8,140,Automatique
Hyundai Ioniq 5 (2 versions),168 950 DT,Électrique,9,166,Automatique
Mercedes Classe A 200 Compacte,169 000 DT,Essence,163,7,Automatique
Hyundai Tucson 1.6 L T-GDI Top Grade Hybride,170 000 DT,Hybride,9,230,Automatique
Model,Price,Fuel Type,Fiscal Power,Horsepower,Transmission
Mercedes-Benz Classe A 200 Berline,170 000 DT,Essence,7,153,Automatique
Ford Ranger XLT 4 portes,170 000 DT,Diesel,7,170,Automatique
Peugeot Traveller 2.0 HDI (9 places),171 900 DT,Diesel,8,150,Manuelle
MINI Countryman One (Pack Funny),172 300 DT,Essence,6,102,Automatique
MG RX 8 (7 places),174 950 DT,Essence,9,162,Automatique
Kia Sportage Hybride 1.6 L T-GDI  GT-Line (2 finitions),174 980 DT,Hybride / Essence,10,230,Automatique
KING LONG Kingo Ambulance type A,175 000 DT,Diesel,8,,Manuelle
Volvo XC40 B5 2.0 L (3 versions),180 000 DT,Hybride / Essence,9,163,Automatique
Hyundai Tucson,180 000 DT,Essence,10,180,Automatique
BMW X2 [18i] 2 finitions,181 900 DT,Essence,8,140,Automatique
BMW SÉRIE 4 GRAN COUPÉ PACK M SPORT 418i,183 500 DT,Essence,7,136,Automatique
SsangYong Torres 1.5 L T-GDI,184 580 DT,Essence,9,163,Automatique
Peugeot 5008 GT 1.6L,186 900 DT,Essence,9,163,Automatique
BMW Série 3 [320i] 3 finitions,187 700 DT,Essence,10,170,Automatique 9G-TRONIC PLUS
Toyota Hilux Premium BVA,188 900 DT,Diesel,8,150,Automatique
BMW X1 Sdrive 18i (3 finitions),188 900 DT,Essence,9,156,Automatique
Volvo S60 2.0 L (2 versions),189 900 DT,Hybride / Essence,11,197,Automatique
Audi A4 Berline 35 TFSI S-Tronic Business Line,189 990 DT,Essence,8,150,Automatique
Honda Accord 1.5L CVT,189 990 DT,Essence,10,182,Automatique
Cupra Formentor 2.0L TSI,190 980 DT,Essence,11,190,Automatique
Bus Isuzu 5.2L Novo,192 637 DT,Diesel,14,175,Manuelle
Audi Q3 SUV 35 TFSI S-tronic (3 finitions),195 000 DT,Essence,8,150,Automatique
BMW Série 2 Active Tourer [218i],197 800 DT,Essence,9,156,Automatique
Geely Tugella 2.0 L Turbo 4WD,199 800 DT,Essence,14,238,Automatique
Volvo C40 Recharge 100 % électrique (2 versions),199 900 DT,Électrique,,228,Automatique
Volkswagen Amarok 4X4 (2 versions),199 980 DT,Diesel,5,170,Automatique
Kia EV6 GT-Line (3 versions),199 980 DT,Électrique,9,170,Automatique
Mercedes-Benz CLA 200,201 000 DT,Essence,9,163,Automatique
Mercedes-Benz GLA 200,203 000 DT,Essence,7,136,Automatique
Mercedes-Benz Classe C180,215 000 DT,Hybride / Essence,9,170,Automatique
BMW IX 1 XDrive 30 (2finitions),216 900 DT,Électrique,8,313,Automatique
BMW X1 xDrive 25e Hybride (3 finitions),217 900 DT,Hybride / Essence,8,245,
Mercedes-Benz GLB 200 AMG,223 000 DT,Essence,9,163,Automatique
Ford Ranger WildTrak 2.0 L Bi-turbo TDCI,225 000 DT,Diesel,5,210,Automatique
BYD Tang EV,229 990 DT,Électrique,9,,Automatique
Toyota Coaster 4.2 L 23 Places,232 000 DT,Diesel,11,130,Manuelle
Bus Isuzu 5.2L Turquoise,234 981 DT,Diesel,14,175,Manuelle
Geely Monjaro 2.0 L Turbo 4WD,235 000 DT,Essence,14,238,Automatique
BMW I4 eDrive 40 (2 finitions),237 900 DT,Électrique,22,340,Automatique
Audi A5 Sportback 35 TFSI (2 finitions),239 900 DT,Essence,8,150,Automatique
Mitsubishi Pajero Sport 4X4 (boite manuelle ou auto),243 000 DT,Diesel,11,181,Manuelle
Hyundai Azera Hybride Calligraphy 1.6 L,249 950 DT,Hybride,9,230,Automatique
Mercedes-Benz Classe E 200,255 000 DT,Essence,,156,Automatique
Bus Isuzu 5.2L Turquoise + wifi,256 941 DT,Diesel,14,175,Manuelle
Ford Everest Limited BVA Bi-Turbo 2L 7 Places (2 finitions),257 000 DT,Diesel,13,210,Automatique
Volvo S90 2.O L (2 versions),259 900 DT,Hybride,15,250,Automatique
Jaguar XF 2.0 Turbo 250 Prestige,265 000 DT,Essence,16,250,Automatique
BMW Série 5 [520i] 3 finitions,269 900 DT,Essence,11,208,Automatique
Audi A6 Berline 40 TFSI S-Tronic Avus,270 990 DT,Essence,11,190,Automatique
Kia Sorento 2.2L (2 versions),274 980 DT,Diesel,12,202,Automatique
BMW Série 4 Gran Coupé [420i] 2 finitions,276 800 DT,Essence,10,184,Automatique
BMW Série 4 Coupé [420i] 2 finitions,276 800 DT,Essence,10,184,Automatique
Honda Civic Type R 2.0L Turbo,279 990 DT,Essence,21,319,Manuelle
Hyundai Santa Fe 2.2 L CRDI 4×4,280 000 DT,Diesel,12,200,Automatique
Mercedes-Benz GLC 200 4M,280 000 DT,Essence,12,204,Automatique
Land Rover: Range Rover Evoque 2.0 SI4 200 PS,284 000 DT,Essence,,200,Automatique
BMW IX 3 Pack M Sport,284 900 DT,Électrique,8,286,Automatique
Jaguar E-Pace 2.0 (Essence et Diesel),289 000 DT,,12,200,Automatique
Volvo XC60 2.0 L (3 versions),289 900 DT,Hybride / Essence,15,462,Automatique
Mercedes-Benz CLE 200 Coupé AMG,292 000 DT,Essence – hybridation légère 48 v,12,204,Automatique
Ssangyong Rexton 2.2 L (5 Places),312 300 DT,Diesel,12,202,Automatique
Ford Ranger Raptor 2.0L TDCI 4×4,320 000 DT,Diesel,5,210,Automatique
Toyota Prado 4X4 BVM,324 000 DT,Diesel,11,163,Manuelle
Mercedes-Benz GLC 200 Coupé AMG,335 000 DT,Essence - Hybride léger 48v,10,181,Automatique
Mercedes-Benz Classe C350E AMG + Hybride,345 000 DT,Hybride,12,204,Automatique
Hyundai Palisade Calligraphy 4X4,350 000 DT,Diesel,12,200,Automatique
BMW X3 xDrive 30e Hybride (2 finitions),355 000 DT,Hybride,11,292,Automatique
Audi Q5 Sportback S Line,365 990 DT,Essence,16,252,Automatique
Land Rover Defender 90 2.0 SI4 300 PS,368 800 DT,Essence,21,300,Automatique
Land Rover Defender 110 2.0 SD4 200 PS,373 000 DT,Diesel,12,200,Automatique
Jeep Wrangler Unlimited Rubicon 2.0L,375 000 DT,Essence,18,272,Automatique
Volvo XC90 B6 2.0 L 7 places (2 versions),375 900 DT,Hybride / Essence,19,462,Automatique
Land Rover Range Rover Velar 2.0 SI4 250PS finition S,389 200 DT,Essence,16,250,Automatique
Jaguar F-Pace 2.0 T 250 R-Sport,390 000 DT,Essence,16,250,Automatique
Audi E-tron Sportback,395 000 DT,Électrique,N.C,408,Automatique
Mercedes-Benz GLC350E 4 Matic AMG Hybride,397 000 DT,Hybride,9,204,Automatique
Jeep Wrangler Unlimited Rubicon 3.6L V6,405 000 DT,Essence,19,284,Automatique
BMW IX xDrive40 Pack Sport,424 900 DT,Électrique,,326,Automatique
Porsche Taycan électrique,430 000 DT,Électrique,16,326,Automatique
Audi Q7 S Line,435 990 DT,Essence,16,252,Automatique
Porsche 718 Cayman 2.0 L PDK,446 350 DT,Essence,19,300,Automatique
Porsche 718 Boxster 2.0 L PDK,454 000 DT,Essence,19,300,Automatique
Porsche Macan,488 000 DT,Essence,17,265,Automatique
BMW X5 Hybride (2 finitions),496 400 DT,Hybride,15,394,Automatique
Audi Q8 55 TFSI Quattro Tiptronic (sur commande),541 990 DT,Essence,23,340,Automatique
Porsche Cayenne 3.0 L V6,570 000 DT,Essence,21,340,Automatique
Porsche Cayenne E-Hybrid,590 000 DT,Hybride,21,462,Automatique
Land Rover Range Rover Sport 3.0 I6 MHEV 400PS finition SE,695 000 DT,Essence,16,258,Automatique
PORSCHE PANAMERA V6 3.0 L,720 000 DT,Essence,31,440,Automatique
PORSCHE 911 CARRERA PDK,780 600 DT,Essence,27,385,Automatique
Land Rover Range Rover 4.4 V8 530PS,908 000 DT,Essence,44,530,Automatique
